DropNo,X,Y,Diameter,Elongation,Circularity,Intensity,Plate,Well,Target,Field,XPos,YPos,Date        ,Time    ,ImageFile
14818,290.3,150.47,28.81,1.74,1.08,158.44,,,,,,,,,
14850,Transmission,,,,,,1,A1,1,8,23,27,12/8/22,1:45:10 PM,20221208_134510782_Printed_T1_F8_R27_C23_Trans__Run.png
14850,249.71,162.01,25,1.74,1.08,129.93,,,,,,,,,
14874,Transmission,,,,,,1,A1,1,8,41,27,12/8/22,1:45:13 PM,20221208_134513887_Printed_T1_F8_R27_C41_Trans__Run.png
14874,290.77,164.48,34.95,1.57,1.05,148.19,,,,,,,,,
14935,Transmission,,,,,,1,A1,1,8,5,33,12/8/22,1:45:19 PM,20221208_134519362_Printed_T1_F8_R33_C5_Trans__Run.png
14935,249.52,144.64,29.73,1.6,1.05,151.49,,,,,,,,,
15039,Transmission,,,,,,1,A1,1,8,23,33,12/8/22,1:45:27 PM,20221208_134527460_Printed_T1_F8_R33_C23_Trans__Run.png
15039,281.86,134.43,25.88,1.79,1.08,144.58,,,,,,,,,
15118,Transmission,,,,,,1,A1,1,8,41,33,12/8/22,1:45:34 PM,20221208_134534040_Printed_T1_F8_R33_C41_Trans__Run.png
15118,240.83,151.53,30.9,1.6,1.06,149.17,,,,,,,,,
15164,Transmission,,,,,,1,A1,1,8,5,51,12/8/22,1:45:38 PM,20221208_134538579_Printed_T1_F8_R51_C5_Trans__Run.png
15164,235.76,154.37,31.73,1.62,1.06,151.82,,,,,,,,,
15250,Transmission,,,,,,1,A1,1,8,23,51,12/8/22,1:45:45 PM,20221208_134545599_Printed_T1_F8_R51_C23_Trans__Run.png
15250,242.77,145.02,25.93,1.75,1.08,145.21,,,,,,,,,
15273,Transmission,,,,,,1,A1,1,8,41,51,12/8/22,1:45:48 PM,20221208_134548689_Printed_T1_F8_R51_C41_Trans__Run.png
15273,219.62,143.42,28.32,1.62,1.06,146.04,,,,,,,,,
15279,Transmission,,,,,,1,A1,1,8,5,57,12/8/22,1:45:50 PM,20221208_134550692_Printed_T1_F8_R57_C5_Trans__Run.png
15279,224.73,148.9,33,1.71,1.07,148.79,,,,,,,,,
15296,Transmission,,,,,,1,A1,1,8,23,57,12/8/22,1:45:53 PM,20221208_134553306_Printed_T1_F8_R57_C23_Trans__Run.png
15296,335.95,138.74,30.86,1.72,1.07,152.94,,,,,,,,,
15314,Transmission,,,,,,1,A1,1,8,41,57,12/8/22,1:45:56 PM,20221208_134556032_Printed_T1_F8_R57_C41_Trans__Run.png
15314,264.73,137.45,30.94,1.57,1.05,142.35,,,,,,,,,
15324,Transmission,,,,,,1,A1,1,10,5,9,12/8/22,1:45:58 PM,20221208_134558280_Printed_T1_F10_R9_C5_Trans__Run.png
15324,335.47,142.98,24.8,1.6,1.05,138.78,,,,,,,,,
15340,Transmission,,,,,,1,A1,1,10,23,9,12/8/22,1:46:00 PM,20221208_134600589_Printed_T1_F10_R9_C23_Trans__Run.png
15340,250.09,167.86,30.45,1.76,1.08,149.5,,,,,,,,,
15415,Transmission,,,,,,1,A1,1,10,41,9,12/8/22,1:46:06 PM,20221208_134606675_Printed_T1_F10_R9_C41_Trans__Run.png
15415,294.73,168.07,32.76,1.56,1.05,148.07,,,,,,,,,
15425,Transmission,,,,,,1,A1,1,10,59,9,12/8/22,1:46:08 PM,20221208_134608640_Printed_T1_F10_R9_C59_Trans__Run.png
15425,253.21,147.32,30.43,1.64,1.06,155.61,,,,,,,,,
15536,Transmission,,,,,,1,A1,1,10,5,27,12/8/22,1:46:17 PM,20221208_134617028_Printed_T1_F10_R27_C5_Trans__Run.png
15536,258.05,150.23,33.43,1.65,1.06,152.57,,,,,,,,,
15661,Transmission,,,,,,1,A1,1,10,23,27,12/8/22,1:46:26 PM,20221208_134626315_Printed_T1_F10_R27_C23_Trans__Run.png
15661,286.27,134.38,29.86,1.67,1.06,135.55,,,,,,,,,
15713,Transmission,,,,,,1,A1,1,10,59,27,12/8/22,1:46:30 PM,20221208_134630983_Printed_T1_F10_R27_C59_Trans__Run.png
15713,339.8,173.49,29.59,1.75,1.08,145.09,,,,,,,,,
15905,Transmission,,,,,,1,A1,1,10,5,33,12/8/22,1:46:44 PM,20221208_134644533_Printed_T1_F10_R33_C5_Trans__Run.png
15905,273.7,136.99,27.63,1.69,1.07,141.21,,,,,,,,,
15928,Transmission,,,,,,1,A1,1,10,23,33,12/8/22,1:46:47 PM,20221208_134647358_Printed_T1_F10_R33_C23_Trans__Run.png
15928,205.89,161.11,28.16,1.7,1.07,155.66,,,,,,,,,
15932,Transmission,,,,,,1,A1,1,10,41,33,12/8/22,1:46:48 PM,20221208_134648975_Printed_T1_F10_R33_C41_Trans__Run.png
15932,278.57,164.91,31.14,1.52,1.04,141.29,,,,,,,,,
15973,Transmission,,,,,,1,A1,1,10,5,51,12/8/22,1:46:52 PM,20221208_134652964_Printed_T1_F10_R51_C5_Trans__Run.png
15973,294.53,141.73,27.33,1.64,1.06,149.43,,,,,,,,,
16098,Transmission,,,,,,1,A1,1,10,23,51,12/8/22,1:47:10 PM,20221208_134710076_Printed_T1_F10_R51_C23_Trans__Run.png
16098,221.75,155.94,29.1,1.38,1.03,140.32,,,,,,,,,
16110,Transmission,,,,,,1,A1,1,10,41,51,12/8/22,1:47:12 PM,20221208_134712252_Printed_T1_F10_R51_C41_Trans__Run.png
